#Gotland- Visby etc
owner = EST
controller = EST
add_core = DAN
add_core = SWE
culture = swedish
religion = norse_pagan
base_tax = 4
base_production = 4
trade_goods = wool
base_manpower = 2
# Visborg Castle
capital = "Visby"
is_city = yes
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
extra_cost = 8
center_of_trade = 1
#1439.9.24 = { revolt = { type = pretender_rebels size = 1 leader = "Eric Gryf" } controller = REB } # Eric settles at Visborg Castle, living off piracy
add_core = EST
fort_15th = yes
